trial_type,trial_index,time_elapsed,rt,stimulus,key_press,test_part,targ_cond,correct_response,word,responses
pavlovia,0,1148,,"",,,,,,
external-html,1,34949,33690.57000000612,"",,,,,,
html-keyboard-response,2,37126,2171.2549999938346,"Welcome to the experiment. Press any key to begin.",32,,,,,
html-keyboard-response,3,49864,12736.589999985881,"<p>You will see a list of words and colored squares in the following task.<p><p>Press the spacebar whenever you see a red square.<p><p>Do not press a key if the square is green<p><p>Press the spacebar to continue.</p>",32,,,,,
html-keyboard-response,4,61414,11046.165000007022,"<p>Please try to remember as many of the words as you can, and try to think about the meaning of each word as it appears.<p><p>After the detection and encoding task you will be asked to solve some math problems for 24 seconds.<p> Please solve as many problems as you can in the time given. <p>",32,,,,,
html-keyboard-response,5,65635,3719.34500001953,"After solving the math problems, you will be asked to type in as many words <p>from the previous list as you can remember for 75 seconds.<p> If you finish recalling before the 75 seconds are up,<p> just sit tight and try to think of any more words you could have missed. <p><p>We will begin with a brief practice session<p>Press the spacebar to begin the practice.</p>",32,,,,,
html-keyboard-response,6,68143,null,"<div style=""font-size:60px;"">+</div>",null,,,,,
html-keyboard-response,7,68651,null,"HAPPY<img id = ""stim"" ><div class = green_square id = ""topsquare"" ></div><img id = ""stim"" ><div class = green_square  id = ""bottomsquare"" ></div>",null,word_square,D,none,,
html-keyboard-response,8,70154,null,"HAPPY",null,word,,,HAPPY,
html-keyboard-response,9,70161,null,"COLD<img id = ""stim"" ><div class = red_square id = ""topsquare"" ></div><img id = ""stim"" ><div class = red_square  id = ""bottomsquare"" ></div>",null,word_square,T,SPACEBAR,,
html-keyboard-response,10,71669,null,"COLD",null,word,,,COLD,
html-keyboard-response,11,71676,null,"HEAVY<img id = ""stim"" ><div class = red_square id = ""topsquare"" ></div><img id = ""stim"" ><div class = red_square  id = ""bottomsquare"" ></div>",null,word_square,T,SPACEBAR,,
html-keyboard-response,12,73181,null,"HEAVY",null,word,,,HEAVY,
html-keyboard-response,13,73689,null,"FUNNY<img id = ""stim"" ><div class = green_square id = ""topsquare"" ></div><img id = ""stim"" ><div class = green_square  id = ""bottomsquare"" ></div>",null,word_square,D,none,,
html-keyboard-response,14,75194,null,"FUNNY",null,word,,,FUNNY,
html-keyboard-response,15,75202,null,"SCARY<img id = ""stim"" ><div class = red_square id = ""topsquare"" ></div><img id = ""stim"" ><div class = red_square  id = ""bottomsquare"" ></div>",null,word_square,T,SPACEBAR,,
html-keyboard-response,16,76706,null,"SCARY",null,word,,,SCARY,
